"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"0#489",10570,"Emmet St & Alumni Hall",38.038412,-78.507232
"0#498",16370,"Emmet Street North at Lambeth (northbound)",38.042331,-78.505632
"0#501",14817,"JPJ",38.044944,-78.506106
"0#502",14801,"Kellogg Dorm",38.033057,-78.517826
"0#511","","Copeley & U-Hall",38.045351,-78.510366
"0#526",16362,"Emmet Street North at Rothery Road",38.041016,-78.506131
"0#551","","Arlington Blvd & Barracks Rd Mall",38.048848,-78.505321
"0#553","","McCormick Rd/Thornton Hall",38.033721,-78.509884
"0#556",14872,"Culbreth Rd & Rugby Rd",38.039806,-78.503465
"1#1",12973,"Hickory Street at Bitternut Lane",37.999336,-78.52586
"1#2",12939,"Hickory Street at Quest Court",37.99909,-78.524026
"1#3",15825,"Southwood Community Center",37.999086,-78.521059
"1#4",15841,"County Office Building South",38.005408,-78.519352
"1#5",12800,"PVCC at Dickinson Building",38.005175,-78.488145
"1#8",15771,"Opposite Willoughby Square Shopping Center",38.011959,-78.50265
"1#9",12925,"Willoughby Square Shopping Center",38.013533,-78.501299
"1#10",15785,"5th Street SW at Harris Road",38.014503,-78.499801
"1#11",11384,"Harris Road at JPA",38.015165,-78.510326
"1#12",11397,"Harris Road at Willard Drive",38.0158,-78.507857
"1#13",11674,"Willard Drive at Allen Drive",38.01655,-78.508113
"1#14",11402,"Willard Drive at Moseley Drive",38.018069,-78.509745
"1#15",11418,"Willard Drive at Cleveland Avenue",38.019516,-78.510555
"1#16",11425,"Cleveland Ave Opp Woodland Dr",38.020306,-78.512606
"1#17",11439,"Cleveland Avenue at JPA",38.020699,-78.514506
"1#19",11345,"JPA at Park Road",38.01965,-78.514673
"1#20",11350,"JPA at Old Lynchburg Road",38.018767,-78.513517
"1#21",11366,"JPA at Monte Vista Avenue",38.017566,-78.512694
"1#22",11378,"JPA at Azalea Drive",38.01598,-78.51145
"1#27",11210,"JPA at Maury Avenue",38.026126,-78.514559
"1#31",11172,"JPA at Shamrock Road",38.027631,-78.511588
"1#33",11164,"JPA at Montebello Circle",38.028819,-78.50981
"1#37",10687,"Alderman Road opposite Gooch Houses",38.029072,-78.516357
"1#44",11223,"Maury Avenue at Clark Court",38.027004,-78.515808
"1#47",11234,"Alderman Road at AFC",38.033825,-78.514094
"1#50",11931,"McCormick Road at Gilmer Hall",38.034809,-78.513184
"1#52",11782,"McCormick Road at Chemistry Building",38.034176,-78.511684
"1#58",11281,"University Ave at Rotunda",38.03651,-78.502843
"1#59",11252,"University Ave at Madison Hall",38.036599,-78.502789
"1#60",11275,"University Avenue opposite Elliewood Avenue",38.035204,-78.500886
"1#61",11247,"University Ave at Women's Center",38.034081,-78.499849
"1#62",10694,"University Ave at The Corner",38.034039,-78.499479
"1#63",11711,"14th Street NW at Wertland (northbound)",38.03454,-78.499283
"1#64",11724,"14th Street NW at Wertland (southbound)",38.034571,-78.499377
"1#65",11155,"JPA at Cabell Hall",38.03211,-78.505489
"1#69",11138,"West Main Street at 11th Street SW (eastbound)",38.032837,-78.4962
"1#70",11129,"West Main Street at 11th Street NW (westbound)",38.032892,-78.495745
"1#73",11186,"West Main Street opposite 9th Street SW",38.032351,-78.493327
"1#74",11117,"West Main Street at 9th Street SW",38.032168,-78.493081
"1#75",11101,"West Main Street at 8th Street SW (eastbound)",38.03176,-78.491304
"1#76",11091,"West Main Street at 8th Street NW (westbound)",38.031695,-78.490572
"1#77",11070,"West Main Street at 6th Street NW (westbound)",38.031218,-78.488571
