shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
60,-78.516430,38.029120,4
60,-78.516470,38.028680,5
60,-78.518850,38.028480,6
60,-78.519660,38.028450,7
60,-78.520230,38.028490,8
60,-78.520230,38.027630,9
60,-78.520520,38.027240,10
60,-78.521060,38.027020,11
60,-78.520690,38.026120,12
60,-78.519520,38.025990,13
60,-78.518700,38.025930,14
60,-78.514979,38.025890,15
60,-78.514920,38.025890,16
60,-78.514820,38.025900,17
60,-78.514619,38.025930,18
60,-78.514490,38.025950,19
60,-78.513310,38.026350,20
60,-78.512820,38.026660,21
60,-78.512350,38.026950,22
60,-78.511250,38.027630,23
60,-78.510570,38.028050,24
60,-78.509950,38.028440,25
60,-78.509580,38.028810,26
60,-78.509250,38.029280,27
60,-78.508220,38.030810,28
60,-78.507949,38.031280,29
60,-78.507690,38.031690,30
60,-78.507580,38.032020,31
60,-78.507490,38.032070,32
60,-78.507400,38.032090,33
60,-78.506790,38.032120,34
60,-78.506390,38.032100,35
60,-78.505910,38.032070,36
60,-78.504600,38.032030,37
60,-78.503640,38.032030,38
60,-78.502710,38.032070,39
60,-78.501780,38.032100,40
60,-78.499760,38.032680,41
60,-78.498840,38.032910,42
60,-78.497730,38.033250,43
60,-78.498320,38.033420,44
60,-78.498890,38.033660,45
60,-78.499540,38.033990,46
60,-78.499200,38.034750,47
60,-78.498670,38.035710,48
60,-78.498480,38.036090,49
60,-78.497890,38.037240,50
60,-78.497870,38.037280,51
60,-78.497610,38.037770,52
60,-78.496770,38.039210,53
60,-78.496200,38.040150,54
60,-78.495900,38.040710,55
60,-78.495820,38.040820,56
60,-78.495710,38.040940,57
60,-78.495560,38.041050,58
60,-78.494249,38.041820,59
60,-78.494050,38.041870,60
60,-78.493810,38.041880,61
60,-78.492947,38.041829,62
61,-78.494235,38.041877,1
61,-78.492140,38.041800,2
61,-78.492120,38.041760,3
61,-78.492099,38.041620,4
61,-78.492110,38.041470,5
61,-78.492130,38.040780,6
61,-78.492099,38.040460,7
61,-78.492080,38.040360,8
61,-78.491820,38.039910,9
61,-78.491260,38.039240,10
61,-78.491280,38.039120,11
61,-78.491300,38.039040,12
61,-78.491640,38.038560,13
61,-78.491919,38.038610,14
61,-78.492570,38.038820,15
61,-78.493380,38.039110,16
61,-78.494280,38.039420,17
61,-78.495250,38.039770,18
61,-78.496200,38.040150,19
61,-78.497200,38.040480,20
61,-78.497760,38.040690,21
61,-78.498250,38.040870,22
61,-78.498710,38.041040,23
61,-78.499350,38.041300,24
61,-78.499480,38.041350,25
61,-78.500390,38.041730,26
61,-78.501000,38.040830,27
61,-78.501230,38.040460,28
61,-78.501700,38.039710,29
61,-78.501790,38.039580,30
61,-78.501870,38.039450,31
61,-78.502140,38.038930,32
61,-78.502700,38.037910,33
61,-78.503350,38.036860,34
61,-78.503410,38.036750,35
61,-78.504230,38.037030,36
61,-78.504550,38.037160,37
61,-78.504820,38.037340,38
61,-78.504980,38.037490,39
61,-78.505210,38.037820,40
61,-78.505550,38.038550,41
61,-78.505930,38.039240,42
61,-78.506160,38.039520,43
61,-78.506520,38.039550,44
61,-78.506800,38.039450,45
61,-78.507120,38.038510,46
61,-78.507810,38.036590,47
61,-78.508440,38.034920,48
61,-78.508700,38.034230,49
61,-78.509630,38.033730,50
61,-78.510150,38.033770,51
61,-78.510510,38.033860,52
61,-78.510900,38.033980,53
61,-78.511080,38.034030,54
61,-78.512460,38.034530,55
61,-78.512829,38.034680,56
61,-78.513460,38.035090,57
61,-78.513660,38.035210,58
61,-78.513700,38.035220,59
61,-78.513810,38.035230,60
61,-78.514050,38.035220,61
61,-78.514120,38.033950,62
61,-78.514160,38.033580,63
61,-78.514250,38.033220,64
61,-78.514580,38.032540,65
61,-78.514030,38.032340,66
61,-78.513620,38.032240,67
61,-78.513480,38.032220,68
61,-78.512770,38.032200,69
61,-78.512230,38.032140,70
61,-78.512110,38.032110,71
61,-78.511021,38.031488,72
61,-78.512185,38.030678,73
61,-78.513539,38.029786,74
61,-78.514000,38.029595,75
61,-78.514713,38.029493,76
61,-78.514887,38.029598,77
62,-78.501780,38.032100,1
62,-78.499760,38.032680,2
62,-78.498840,38.032910,3
62,-78.497730,38.033250,4
62,-78.498320,38.033420,5
62,-78.498890,38.033660,6
62,-78.499540,38.033990,7
62,-78.499200,38.034750,8
62,-78.498670,38.035710,9
62,-78.498480,38.036090,10
62,-78.497890,38.037240,11
62,-78.497870,38.037280,12
62,-78.497610,38.037770,13
62,-78.496770,38.039210,14
62,-78.496200,38.040150,15
62,-78.495900,38.040710,16
62,-78.495820,38.040820,17
62,-78.495710,38.040940,18
62,-78.495560,38.041050,19
62,-78.494249,38.041820,20
62,-78.494050,38.041870,21
62,-78.493810,38.041880,22
62,-78.492947,38.041829,23
63,-78.511759,38.034276,1
63,-78.512460,38.034530,2
63,-78.512829,38.034680,3
63,-78.513460,38.035090,4
63,-78.513660,38.035210,5
63,-78.513700,38.035220,6
63,-78.513810,38.035230,7
63,-78.514050,38.035220,8
63,-78.514120,38.033950,9
63,-78.514160,38.033580,10
63,-78.514250,38.033220,11
63,-78.514580,38.032540,12
63,-78.514030,38.032340,13
63,-78.513620,38.032240,14
63,-78.513480,38.032220,15
63,-78.512770,38.032200,16
63,-78.512230,38.032140,17
63,-78.512110,38.032110,18
63,-78.511021,38.031488,19
63,-78.512185,38.030678,20
63,-78.513539,38.029786,21
63,-78.514000,38.029595,22
63,-78.514713,38.029493,23
63,-78.515866,38.030195,24
63,-78.516319,38.029400,25
63,-78.516430,38.029120,26
63,-78.516470,38.028680,27
63,-78.516460,38.027590,28
63,-78.516390,38.027390,29
63,-78.516360,38.027270,30
63,-78.516099,38.027110,31
63,-78.515620,38.026790,32
63,-78.515490,38.026690,33
63,-78.515320,38.026500,34
63,-78.514979,38.025890,35
63,-78.514920,38.025890,36
63,-78.514820,38.025900,37
63,-78.514619,38.025930,38
63,-78.514490,38.025950,39
63,-78.513310,38.026350,40
63,-78.512820,38.026660,41
63,-78.512350,38.026950,42
63,-78.511250,38.027630,43
63,-78.510570,38.028050,44
63,-78.509950,38.028440,45
63,-78.509580,38.028810,46
63,-78.509250,38.029280,47
63,-78.508220,38.030810,48
63,-78.507949,38.031280,49
63,-78.507690,38.031690,50
63,-78.507580,38.032020,51
63,-78.507490,38.032070,52
63,-78.507400,38.032090,53
63,-78.506790,38.032120,54
63,-78.506390,38.032100,55
63,-78.505910,38.032070,56
63,-78.504600,38.032030,57
63,-78.503640,38.032030,58
63,-78.502710,38.032070,59
63,-78.501780,38.032100,60
63,-78.499760,38.032680,61
63,-78.498840,38.032910,62
63,-78.497730,38.033250,63
63,-78.498320,38.033420,64
63,-78.498890,38.033660,65
63,-78.499540,38.033990,66
63,-78.499200,38.034750,67
63,-78.498670,38.035710,68
63,-78.498480,38.036090,69
63,-78.497890,38.037240,70
63,-78.497870,38.037280,71
63,-78.497610,38.037770,72
63,-78.496770,38.039210,73
63,-78.496200,38.040150,74
63,-78.495900,38.040710,75
63,-78.495820,38.040820,76
63,-78.495710,38.040940,77
63,-78.495560,38.041050,78
63,-78.494249,38.041820,79
63,-78.494050,38.041870,80
63,-78.493810,38.041880,81
63,-78.493094,38.041838,82
64,-78.494235,38.041877,1
64,-78.492140,38.041800,2
64,-78.492120,38.041760,3
64,-78.492099,38.041620,4
64,-78.492110,38.041470,5
64,-78.492130,38.040780,6
64,-78.492099,38.040460,7
64,-78.492080,38.040360,8
64,-78.491820,38.039910,9
64,-78.491260,38.039240,10
64,-78.491280,38.039120,11
64,-78.491300,38.039040,12
64,-78.491640,38.038560,13
64,-78.491919,38.038610,14
64,-78.492570,38.038820,15
64,-78.493380,38.039110,16
64,-78.494280,38.039420,17
64,-78.495250,38.039770,18
64,-78.496200,38.040150,19
64,-78.497200,38.040480,20
64,-78.497760,38.040690,21
64,-78.498250,38.040870,22
64,-78.498710,38.041040,23
64,-78.499350,38.041300,24
64,-78.499480,38.041350,25
64,-78.500390,38.041730,26
64,-78.501000,38.040830,27
64,-78.501230,38.040460,28
64,-78.501700,38.039710,29
64,-78.501790,38.039580,30
64,-78.501870,38.039450,31
64,-78.502140,38.038930,32
64,-78.502700,38.037910,33
64,-78.503350,38.036860,34
64,-78.503410,38.036750,35
64,-78.503440,38.036760,36
64,-78.504230,38.037030,37
64,-78.504550,38.037160,38
64,-78.504820,38.037340,39
64,-78.505100,38.037630,40
64,-78.505410,38.038240,41
64,-78.505760,38.038920,42
64,-78.506020,38.039360,43
64,-78.506160,38.039520,44
64,-78.506520,38.039550,45
64,-78.506800,38.039450,46
64,-78.508700,38.034230,47
64,-78.509550,38.033760,48
64,-78.510150,38.033770,49
64,-78.510510,38.033860,50
64,-78.510900,38.033980,51
64,-78.511080,38.034030,52
64,-78.512460,38.034530,53
64,-78.512796,38.034727,54
64,-78.513122,38.034834,55
64,-78.513460,38.035090,56
64,-78.513827,38.035216,57
64,-78.514100,38.035220,58
64,-78.514184,38.033901,59
64,-78.514200,38.033670,60
64,-78.514326,38.033216,61
64,-78.514580,38.032540,62
64,-78.514030,38.032340,63
64,-78.513620,38.032240,64
64,-78.513480,38.032220,65
64,-78.512770,38.032200,66
64,-78.512230,38.032140,67
64,-78.512110,38.032110,68
64,-78.511021,38.031488,69
64,-78.512185,38.030678,70
64,-78.513539,38.029786,71
64,-78.514000,38.029595,72
64,-78.514713,38.029493,73
64,-78.515866,38.030195,74
64,-78.516319,38.029400,75
64,-78.516430,38.029120,76
64,-78.516470,38.028680,77
64,-78.516460,38.027590,78
64,-78.516390,38.027390,79
64,-78.516360,38.027270,80
64,-78.516099,38.027110,81
64,-78.515620,38.026790,82
64,-78.515490,38.026690,83
64,-78.515320,38.026500,84
64,-78.514979,38.025890,85
64,-78.514920,38.025890,86
64,-78.514820,38.025900,87
64,-78.514619,38.025930,88
64,-78.514490,38.025950,89
64,-78.513310,38.026350,90
64,-78.512820,38.026660,91
64,-78.512350,38.026950,92
64,-78.511250,38.027630,93
64,-78.510570,38.028050,94
64,-78.509950,38.028440,95
64,-78.509580,38.028810,96
64,-78.509250,38.029280,97
64,-78.508220,38.030810,98
64,-78.507949,38.031280,99
64,-78.507690,38.031690,100
64,-78.507580,38.032020,101
64,-78.507490,38.032070,102
64,-78.507400,38.032090,103
64,-78.506790,38.032120,104
64,-78.506390,38.032100,105
64,-78.505910,38.032070,106
64,-78.504600,38.032030,107
64,-78.503640,38.032030,108
64,-78.502710,38.032070,109
64,-78.501780,38.032100,110
64,-78.500777,38.032388,111
65,-78.501790,38.039580,1
65,-78.501700,38.039710,2
65,-78.501230,38.040460,3
65,-78.501000,38.040830,4
65,-78.500390,38.041730,5
65,-78.499480,38.041350,6
65,-78.499350,38.041300,7
65,-78.498710,38.041040,8
65,-78.498250,38.040870,9
65,-78.497760,38.040690,10
65,-78.497200,38.040480,11
65,-78.496200,38.040150,12
65,-78.495900,38.040710,13
65,-78.495820,38.040820,14
65,-78.495710,38.040940,15
65,-78.495560,38.041050,16
65,-78.494249,38.041820,17
65,-78.494050,38.041870,18
65,-78.493810,38.041880,19
65,-78.493026,38.041830,20
66,-78.494235,38.041877,1
66,-78.492140,38.041800,2
66,-78.492120,38.041760,3
66,-78.492099,38.041620,4
66,-78.492110,38.041470,5
66,-78.492130,38.040780,6
66,-78.492099,38.040460,7
66,-78.492080,38.040360,8
66,-78.491820,38.039910,9
66,-78.491260,38.039240,10
66,-78.491280,38.039120,11
66,-78.491300,38.039040,12
66,-78.491640,38.038560,13
66,-78.491919,38.038610,14
66,-78.492570,38.038820,15
66,-78.493380,38.039110,16
66,-78.494280,38.039420,17
66,-78.495250,38.039770,18
66,-78.496200,38.040150,19
66,-78.497200,38.040480,20
66,-78.497760,38.040690,21
66,-78.498250,38.040870,22
66,-78.498710,38.041040,23
66,-78.499350,38.041300,24
66,-78.499480,38.041350,25
66,-78.500390,38.041730,26
66,-78.501000,38.040830,27
66,-78.501230,38.040460,28
66,-78.501700,38.039710,29
66,-78.501790,38.039580,30
66,-78.501870,38.039450,31
66,-78.502140,38.038930,32
66,-78.502700,38.037910,33
66,-78.503350,38.036860,34
66,-78.503410,38.036750,35
66,-78.503440,38.036760,36
66,-78.504230,38.037030,37
66,-78.504550,38.037160,38
66,-78.504820,38.037340,39
66,-78.505100,38.037630,40
66,-78.505550,38.038550,41
66,-78.506020,38.039360,42
66,-78.506160,38.039520,43
66,-78.506520,38.039550,44
66,-78.506800,38.039450,45
66,-78.507480,38.037510,46
66,-78.508440,38.034920,47
66,-78.508700,38.034230,48
66,-78.509630,38.033730,49
66,-78.510150,38.033770,50
66,-78.510510,38.033860,51
66,-78.510900,38.033980,52
66,-78.511080,38.034030,53
66,-78.512460,38.034530,54
66,-78.512829,38.034680,55
66,-78.513460,38.035090,56
66,-78.513660,38.035210,57
66,-78.513700,38.035220,58
66,-78.513810,38.035230,59
66,-78.514050,38.035220,60
66,-78.514120,38.033950,61
66,-78.514160,38.033580,62
66,-78.514250,38.033220,63
66,-78.514580,38.032540,64
66,-78.514030,38.032340,65
66,-78.513620,38.032240,66
66,-78.513480,38.032220,67
66,-78.512770,38.032200,68
66,-78.512230,38.032140,69
66,-78.512110,38.032110,70
66,-78.511021,38.031488,71
66,-78.512185,38.030678,72
66,-78.513539,38.029786,73
66,-78.514000,38.029595,74
66,-78.514713,38.029493,75
66,-78.515866,38.030195,76
66,-78.516319,38.029400,77
66,-78.516430,38.029120,78
66,-78.516470,38.028680,79
66,-78.516460,38.027590,80
66,-78.516390,38.027390,81
66,-78.516360,38.027270,82
66,-78.516099,38.027110,83
66,-78.515620,38.026790,84
66,-78.515490,38.026690,85
66,-78.515320,38.026500,86
66,-78.514979,38.025890,87
66,-78.514920,38.025890,88
66,-78.514820,38.025900,89
66,-78.514619,38.025930,90
66,-78.514490,38.025950,91
66,-78.513310,38.026350,92
66,-78.512820,38.026660,93
66,-78.512350,38.026950,94
66,-78.511250,38.027630,95
66,-78.510570,38.028050,96
66,-78.509950,38.028440,97
66,-78.509580,38.028810,98
66,-78.509250,38.029280,99
66,-78.508220,38.030810,100
66,-78.507949,38.031280,101
66,-78.507690,38.031690,102
66,-78.507580,38.032020,103
66,-78.507490,38.032070,104
66,-78.507400,38.032090,105
66,-78.506790,38.032120,106
66,-78.506390,38.032100,107
66,-78.505910,38.032070,108
66,-78.504600,38.032030,109
66,-78.503640,38.032030,110
66,-78.502710,38.032070,111
66,-78.501780,38.032100,112
66,-78.499760,38.032680,113
66,-78.498840,38.032910,114
66,-78.497730,38.033250,115
66,-78.498320,38.033420,116
66,-78.498890,38.033660,117
66,-78.499540,38.033990,118
66,-78.499200,38.034750,119
66,-78.498670,38.035710,120
66,-78.498480,38.036090,121
66,-78.497890,38.037240,122
66,-78.497870,38.037280,123
66,-78.497610,38.037770,124
66,-78.496770,38.039210,125
66,-78.496200,38.040150,126
66,-78.495900,38.040710,127
66,-78.495820,38.040820,128
66,-78.495710,38.040940,129
66,-78.495560,38.041050,130
66,-78.494249,38.041820,131
66,-78.494050,38.041870,132
66,-78.493810,38.041880,133
66,-78.493094,38.041838,134
67,-78.494235,38.041877,1
67,-78.492140,38.041800,2
67,-78.492120,38.041760,3
67,-78.492099,38.041620,4
67,-78.492110,38.041470,5
67,-78.492130,38.040780,6
67,-78.492099,38.040460,7
67,-78.492080,38.040360,8
67,-78.491820,38.039910,9
67,-78.491260,38.039240,10
67,-78.491280,38.039120,11
67,-78.491300,38.039040,12
67,-78.491640,38.038560,13
